,primary_fuel,state,county,postcode
415,Oil,Ohio,Darke County,45304.0
416,Gas,Indiana,Porter County,46868.0
417,Gas,Indiana,Lake County,46312.0
418,Gas,Ohio,Trumbull County,44481.0
419,Gas,Ohio,Cuyahoga County,44115.0
420,Gas,Pennsylvania,Lackawanna County,18403.0
421,Solar,Maryland,Harford County,21130.0
422,Solar,Maryland,Harford County,21130.0
423,Coal,Iowa,Linn County,52404.0
424,Coal,Iowa,Clinton County,52732.0
425,Coal,Nebraska,Platte County,
426,Coal,Illinois,Macon County,62524.0
427,Coal,Iowa,Polk County,50317.0
428,Coal,Nebraska,Lancaster County,68507.0
429,Coal,Minnesota,Blue Earth County,56001.0
430,Gas,Illinois,Peoria County,61602.0
431,Gas,North Carolina,Brunswick County,
432,Solar,Minnesota,Washington County,55073.0
433,Gas,Illinois,DuPage County,60561.0
434,Coal,California,CAL Fire San Bernardino Unit,93562.0
435,Oil,Wisconsin,Lafayette County,53504.0
436,Solar,Minnesota,Dodge County,55924.0
437,Gas,Arizona,Maricopa County,85287.0
438,Solar,Arizona,Yuma County,85365.0
439,Gas,Kansas,Seward County,
440,Nuclear,Arkansas,Pope County,72847.0
441,Wind,New York,Chautauqua County,14063.0
442,Hydro,Texas,Tarrant County,76060.0
443,Gas,Arizona,Maricopa County,
444,Solar,Arizona,Maricopa County,
445,Wind,Oregon,Gilliam County,97823.0
446,Wind,Oklahoma,Garfield County,73730.0
447,Wind,Pennsylvania,Bradford County,16945.0
448,Gas,Pennsylvania,Armstrong County,15783.0
449,Solar,Minnesota,Pope County,56334.0
450,Solar,North Carolina,Catawba County,28613.0
451,Oil,Nebraska,Custer County,69120.0
452,Hydro,Wisconsin,Sawyer County,54867.0
453,Solar,California,Los Angeles County,93535.0
454,Solar,California,Los Angeles County,93535.0
455,Solar,California,Los Angeles County,93535.0
456,Hydro,Idaho,Elmore County,83716.0
457,Gas,Louisiana,Caddo Parish,71101.0
458,Gas,New York,,10314.0
459,Solar,North Carolina,Columbus County,28463.0
460,Gas,Texas,Bexar County,
461,Gas,Wyoming,Sheridan County,
462,Gas,Florida,Leon County,32304.0
463,Solar,Arizona,Pima County,85628.0
464,Coal,Missouri,Jasper County,64832.0
465,Gas,Texas,Brazoria County,
466,Oil,Vermont,Windsor County,5089.0
467,Storage,Massachusetts,Worcester County,1430.0
468,Solar,Massachusetts,Middlesex County,1431.0
469,Solar,Massachusetts,Worcester County,1420.0
470,Biomass,Arkansas,Little River County,71822.0
471,Gas,North Carolina,Buncombe County,28776.0
472,Oil,Kansas,Clark County,67831.0
473,Solar,North Carolina,Yadkin County,
474,Hydro,New York,Ulster County,12481.0
475,Gas,Ohio,Ashtabula County,44004.0
476,Wind,North Dakota,Barnes County,58056.0
477,Wind,North Dakota,Steele County,
478,Wind,North Dakota,Barnes County,58056.0
479,Hydro,Idaho,Fremont County,
480,Solar,North Carolina,Duplin County,28464.0
481,Solar,California,Fresno County,93608.0
482,Gas,New York,,11105.0
483,Gas,New York,,11105.0
484,Gas,New York,,11105.0
485,Gas,New York,,11105.0
486,Wind,Texas,Randall County,
487,Storage,Minnesota,Isanti County,55040.0
488,Storage,Minnesota,Isanti County,55040.0
489,Waste,Maine,Somerset County,4912.0
490,Gas,New York,Greene County,12015.0
491,Solar,Minnesota,Isanti County,55040.0
492,Oil,Georgia,Athens-Clarke County,30601.0
493,Solar,North Carolina,Duplin County,28518.0
494,Solar,North Carolina,Duplin County,28518.0
495,Solar,Georgia,Fulton County,30313.0
496,Oil,Georgia,Fulton County,30313.0
497,Gas,Iowa,Cass County,50022.0
498,Solar,New Jersey,Atlantic County,8401.0
499,Solar,New Jersey,Cumberland County,8360.0
500,Solar,South Carolina,Spartanburg County,29330.0
501,Gas,Mississippi,Attala County,39160.0
502,Solar,Minnesota,Kandiyohi County,56209.0
503,Solar,California,Tulare County,93201.0
504,Solar,California,Tulare County,93201.0
505,Gas,Nebraska,Nemaha County,68305.0
506,Waste,New York,Cayuga County,13021.0
507,Gas,New York,Cayuga County,13021.0
508,Gas,Missouri,Audrain County,63382.0
509,Solar,North Carolina,Cleveland County,
510,Hydro,Ohio,Defiance County,43512.0
511,Wind,Iowa,Ringgold County,50851.0
512,Gas,Kansas,Butler County,67010.0
513,Gas,Kansas,Butler County,67010.0
514,Solar,New Jersey,Sussex County,8827.0
515,Solar,North Carolina,Pitt County,27828.0
516,Oil,Alaska,,99801.0
517,Solar,North Carolina,Hertford County,
518,Solar,North Carolina,Bertie County,27805.0
519,Solar,Minnesota,Murray County,56172.0
520,Gas,Illinois,DuPage County,60510.0
521,Wind,South Dakota,Aurora County,57383.0
522,Coal,Alaska,Fairbanks North Star,99701.0
523,Hydro,Texas,Travis County,78703.0
524,Waste,Texas,Travis County,78754.0
525,Solar,North Carolina,Gaston County,28054.0
526,Waste,Michigan,Ottawa County,49464.0
527,Wind,Minnesota,Lincoln County,
528,Wind,Hawaii,Maui County,
529,Hydro,North Carolina,Rockingham County,27027.0
530,Solar,Arizona,Pima County,85629.0
531,Solar,Arizona,Pima County,85629.0
532,Solar,California,Kings County,
533,Oil,Illinois,Whiteside County,61071.0
534,Coal,Ohio,Lorain County,44012.0
535,Oil,Florida,Highlands County,33825.0
536,Solar,Arizona,Pima County,85693.0
537,Gas,West Virginia,Marshall County,43915.0
538,Gas,Louisiana,Iberville Parish,70765.0
539,Solar,Massachusetts,Franklin County,1301.0
540,Solar,California,Stanislaus County,95356.0
541,Hydro,New Hampshire,Belknap County,3222.0
542,Solar,Massachusetts,Essex County,3079.0
543,Solar,North Carolina,Cleveland County,28151.0
544,Solar,Georgia,Washington County,31018.0
545,Hydro,Maine,Oxford County,
546,Hydro,California,Los Angeles County,91702.0
547,Gas,California,Orange County,92606.0
548,Wind,Minnesota,Jackson County,
549,Solar,Minnesota,Hennepin County,55373.0
550,Solar,Minnesota,Stearns County,56377.0
551,Solar,Minnesota,Benton County,56379.0
552,Gas,Texas,Brazoria County,77531.0
553,Solar,New Jersey,Union County,7083.0
554,Wind,Minnesota,Jackson County,56143.0
555,Waste,New Jersey,Burlington County,8022.0
556,Solar,Oregon,Lake County,97630.0
557,Solar,North Carolina,Union County,28103.0
558,Solar,Massachusetts,Worcester County,1529.0
559,Solar,New Jersey,Burlington County,8016.0
560,Waste,South Carolina,Spartanburg County,29651.0
561,Solar,New Jersey,Camden County,8103.0
562,Gas,California,Los Angeles County,90081.0
563,Cogeneration,Texas,Calhoun County,
564,Gas,Illinois,DuPage County,60563.0
565,Solar,Kansas,Wyandotte County,66104.0
566,Solar,North Carolina,Granville County,27565.0
567,Solar,Massachusetts,Plymouth County,2538.0
568,Solar,Massachusetts,Plymouth County,2538.0
569,Solar,Massachusetts,Plymouth County,2739.0
570,Solar,Massachusetts,Plymouth County,2538.0
571,Solar,Massachusetts,Bristol County,2777.0
572,Solar,Massachusetts,Worcester County,10747.0
573,Solar,Massachusetts,Plymouth County,2571.0
574,Gas,Utah,Utah County,84606.0
