,County,num_solar,num_gas,num_oil,num_hydro,num_wind,num_coal,num_biomass,num_storage,num_cogeneration,num_geothermal,num_petcoke,num_nuclear,num_other
77,"Kent County, Michigan",0,2,0,2,0,0,0,0,0,0,0,0,0
78,"Adair County, Iowa",0,0,2,0,12,0,0,0,0,0,0,0,0
79,"Adams County, Colorado",14,3,0,0,0,0,1,0,0,0,0,0,0
80,"Adams County, Washington",1,0,0,0,0,0,0,0,0,0,0,0,0
81,"Southeastern Connecticut COG, Connecticut",15,4,12,3,0,0,0,0,0,0,0,1,0
82,"Adams County, Iowa",0,1,1,0,1,0,0,0,0,0,0,0,0
83,"Mower County, Minnesota",0,1,0,0,6,0,0,0,0,0,0,0,0
84,"Meeker County, Minnesota",2,0,1,0,2,0,0,0,0,0,0,0,0
85,"San Bernardino County, California",85,13,0,7,1,0,0,1,0,0,0,0,0
86,"Clinton County, New York",4,1,0,8,4,0,0,0,0,0,0,0,0
87,"Stephenson County, Illinois",0,1,0,0,1,0,0,0,0,0,0,0,0
88,"Nobles County, Minnesota",0,0,2,0,9,0,0,0,0,0,0,0,0
89,"Lenawee County, Michigan",0,0,0,0,0,0,0,0,0,0,0,0,0
90,"Ontario County, New York",9,0,0,0,1,0,0,0,0,0,0,0,0
91,"Hansford County, Texas",0,0,0,0,2,0,0,0,0,0,0,0,0
92,"Monterey County, California",2,8,0,1,6,0,1,0,0,0,0,0,0
93,"Sacramento County, California",40,6,0,2,0,0,0,0,0,0,0,0,0
94,"Do̱a Ana County, New Mexico",4,3,0,0,0,0,0,0,0,0,0,0,0
95,"Clay County, Minnesota",0,0,1,0,3,1,0,0,0,0,0,0,0
96,"Scott County, Iowa",0,1,0,0,0,0,2,0,0,0,0,0,0
97,"Calcasieu Parish, Louisiana",0,6,0,0,0,1,0,0,1,0,0,0,2
98,"Kenai Peninsula, Alaska",0,6,2,2,0,0,0,0,0,0,0,0,0
99,"Bureau County, Illinois",0,1,0,0,4,0,0,0,0,0,0,0,0
100,"Yuma County, Arizona",5,2,0,0,0,0,0,0,0,0,0,0,0
101,"CAL Fire San Bernardino Unit, California",3,3,0,3,1,1,1,0,0,0,0,0,0
102,"Hertford County, North Carolina",10,0,0,0,0,0,0,0,0,0,0,0,0
103,"Brown County, Nebraska",0,0,0,0,1,0,0,0,0,0,0,0,0
104,"Jefferson County, Texas",0,8,0,0,0,0,0,0,0,0,0,0,0
105,"Pueblo County, Colorado",3,1,2,0,1,1,0,0,0,0,0,0,0
106,"Lake County, Oregon",6,0,0,0,0,0,0,0,0,1,0,0,0
107,"Robeson County, North Carolina",39,0,1,0,0,0,0,0,0,0,0,0,0
108,"Summit County, Ohio",0,1,1,0,0,0,1,0,0,0,0,0,0
109,"Orange County, New York",14,4,1,1,0,0,0,0,0,0,0,0,0
110,"Monroe County, Alabama",0,0,0,0,0,0,2,0,0,0,0,0,0
111,"Alameda County, California",3,10,1,0,3,0,3,1,0,0,0,0,0
112,"Pecos County, Texas",7,1,0,0,6,0,0,0,0,0,0,0,0
113,"Otero County, New Mexico",4,0,0,0,0,0,0,0,0,0,0,0,0
114,"Alamosa County, Colorado",6,1,0,0,0,0,0,0,0,0,0,0,0
115,"Dougherty County, Georgia",2,0,0,1,0,0,1,0,0,0,0,0,0
116,"Albany County, New York",6,3,0,4,0,0,0,0,0,0,0,0,0
117,"Stearns County, Minnesota",27,0,2,0,1,0,0,0,0,0,0,0,0
118,"Stanly County, North Carolina",1,0,2,1,0,0,0,0,0,0,0,0,0
119,"Lenoir County, North Carolina",13,0,1,0,0,0,0,0,0,0,0,0,0
120,"Bonner County, Idaho",0,0,0,2,0,0,0,0,0,0,0,0,0
121,"Duplin County, North Carolina",27,0,0,0,0,0,0,0,0,0,0,0,0
122,"Marshall County, Alabama",0,0,1,1,0,0,0,0,0,0,0,0,0
123,"Bernalillo County, New Mexico",9,4,0,0,0,0,0,1,0,0,0,0,0
124,"Alcona County, Michigan",0,0,0,1,0,0,0,0,0,0,0,0,0
125,"Natrona County, Wyoming",0,0,0,2,1,0,0,0,0,0,0,0,0
126,"Clatsop County, Oregon",0,1,0,0,0,0,1,0,0,0,0,0,0
127,"Pierce County, Washington",0,2,1,3,0,0,1,0,0,0,0,0,0
128,"Lincoln County, Wisconsin",0,1,0,4,0,0,0,0,0,0,0,0,0
129,"Rush County, Kansas",0,0,1,0,1,0,0,0,0,0,0,0,0
130,"Douglas County, Minnesota",3,0,1,0,0,0,0,0,0,0,0,0,0
131,"Sandoval County, New Mexico",3,1,0,0,0,0,0,0,0,0,0,0,0
132,"Kossuth County, Iowa",0,0,2,0,2,0,0,0,0,0,0,0,0
133,"Bartow County, Georgia",0,0,0,1,0,1,0,0,0,0,0,0,0
134,"Allegany County, New York",1,1,0,1,0,0,0,0,0,0,0,0,0
135,"Allegheny County, Pennsylvania",0,6,1,0,0,1,0,0,0,0,0,0,0
136,"Armstrong County, Pennsylvania",0,1,0,5,0,1,0,0,0,0,0,0,0
137,"Cambria County, Pennsylvania",0,1,0,0,4,2,0,0,0,0,0,0,0
138,"Shelby County, Tennessee",2,1,0,0,0,0,0,0,0,0,0,0,0
139,"Washington County, Minnesota",10,1,0,0,0,1,0,0,0,0,0,0,0
140,"Allendale County, South Carolina",1,0,0,0,0,0,0,0,0,0,0,0,0
141,"Osceola County, Iowa",0,2,1,0,3,0,0,0,0,0,0,0,0
142,"Saint Lawrence County, New York",4,2,0,35,0,0,0,0,0,0,0,0,0
143,"Lycoming County, Pennsylvania",0,1,1,0,1,0,0,0,0,0,0,0,0
144,"Plaquemines Parish, Louisiana",0,2,0,0,0,0,0,0,0,0,0,0,0
145,"Winnebago County, Wisconsin",0,1,0,0,0,0,0,0,0,0,0,0,0
146,"Linn County, Iowa",0,2,9,0,1,1,0,0,0,0,0,1,0
147,"Iowa County, Iowa",0,0,2,0,0,0,0,0,0,0,0,0,0
148,"Marshall County, Iowa",0,2,2,0,2,0,0,0,0,0,0,0,0
149,"Allamakee County, Iowa",0,0,1,0,0,1,0,0,0,0,0,0,0
150,"Dubuque County, Iowa",1,0,4,0,0,0,0,0,0,0,0,0,0
151,"Howard County, Iowa",0,0,1,0,2,0,0,0,0,0,0,0,0
152,"Wright County, Iowa",0,0,1,0,1,0,0,0,0,0,0,0,0
153,"Union County, New Jersey",9,4,1,0,0,0,0,0,1,0,0,0,0
154,"Chugach, Alaska",0,0,3,2,0,0,0,0,0,0,0,0,0
155,"Stanislaus County, California",4,4,1,6,0,0,1,0,0,0,0,0,0
156,"Bradford County, Pennsylvania",0,5,0,0,1,0,0,0,0,0,0,0,0
157,"Tulare County, California",25,2,0,7,0,0,1,0,0,0,0,0,0
158,"Alpena County, Michigan",0,1,0,3,0,0,0,0,0,0,1,0,0
159,"Howard County, Maryland",1,0,0,0,0,0,0,0,0,0,0,0,0
160,"Perquimans County, North Carolina",8,0,0,0,1,0,0,0,0,0,0,0,0
161,"Otsego County, Michigan",0,3,0,0,0,0,0,0,0,0,0,0,0
162,"Scott County, Illinois",0,1,0,0,0,0,0,0,0,0,0,0,0
163,"Luna County, New Mexico",4,1,0,0,1,0,0,0,0,0,0,0,0
164,"Buena Vista County, Iowa",0,0,1,0,0,0,0,0,0,0,0,0,0
165,"Placer County, California",1,2,1,14,0,0,0,0,0,0,0,0,0
166,"San Joaquin County, California",5,8,0,1,2,0,1,0,1,0,0,0,0
167,"Waseca County, Minnesota",7,0,1,0,0,0,0,0,0,0,0,0,0
168,"Effingham County, Illinois",0,0,1,0,0,0,0,0,0,0,0,0,0
169,"Seminole County, Florida",2,0,0,0,0,0,0,0,0,0,0,0,0
170,"Campbell County, Virginia",0,0,0,1,0,0,0,0,0,0,0,0,0
171,"Canyon County, Idaho",0,1,0,1,0,0,0,0,0,0,0,0,0
172,"Twin Falls County, Idaho",1,0,0,9,12,1,2,0,0,0,0,0,0
173,"Baltimore County, Maryland",8,1,0,0,0,0,1,0,0,0,0,0,0
174,"Northwest Arctic, Alaska",0,0,8,0,0,0,0,0,0,0,0,0,0
175,"Lassen County, California",1,0,0,1,0,0,0,0,0,1,0,0,0
176,"Amelia County, Virginia",0,0,1,0,0,0,0,0,0,0,0,0,0
177,"Butte County, California",3,2,0,15,0,0,0,0,0,0,0,0,0
178,"Dallas County, Texas",0,2,1,0,0,0,0,0,0,0,0,0,0
179,"Kent County, Delaware",4,4,1,0,0,0,0,0,0,0,0,0,0
180,"Sussex County, Delaware",4,0,0,0,1,1,0,0,0,0,0,0,0
181,"Rock County, Wisconsin",1,4,1,0,0,0,0,0,0,0,0,0,0
182,"Cole County, Missouri",0,0,2,0,0,0,0,0,0,0,0,0,0
183,"Contra Costa County, California",7,12,0,0,2,0,0,0,1,0,1,0,1
184,"San Mateo County, California",0,2,0,0,0,0,1,0,0,0,0,0,0
185,"Santa Cruz County, California",0,1,0,0,0,0,0,0,0,0,0,0,0
186,"Stafford County, Virginia",0,0,0,0,0,0,0,0,0,0,0,0,0
187,"Napa County, California",2,2,0,0,0,0,0,0,0,0,0,0,0
188,"Polk County, Minnesota",0,0,0,0,0,2,0,0,0,0,0,0,0
189,"Pembina County, North Dakota",0,0,0,0,1,1,0,0,0,0,0,0,0
190,"Traill County, North Dakota",0,0,1,0,0,1,0,0,0,0,0,0,0
191,"Power County, Idaho",2,0,0,1,3,0,0,0,1,0,0,0,0
192,"Eagle County, Colorado",0,1,0,1,0,0,0,0,0,0,0,0,0
193,"Halifax County, North Carolina",10,0,1,2,0,0,0,0,0,0,0,0,0
194,"Story County, Iowa",0,1,3,0,8,1,0,0,0,0,0,0,0
195,"San Miguel County, Colorado",0,0,0,1,0,0,0,0,0,0,0,0,0
196,"Rutherford County, North Carolina",8,0,1,1,0,0,0,0,0,0,0,0,0
197,"Hampshire County, Massachusetts",17,2,0,0,0,0,0,0,0,0,0,0,0
198,"Val Verde County, Texas",0,0,0,1,1,0,0,0,0,0,0,0,0
199,"Hillsborough County, New Hampshire",0,0,1,5,1,0,0,0,0,0,0,0,0
200,"Montgomery County, New York",3,0,0,0,0,0,0,0,0,0,0,0,0
201,"Kinney County, Texas",1,0,0,0,1,0,0,0,0,0,0,0,0
202,"Monroe County, Ohio",0,0,1,0,0,0,0,0,0,0,0,0,0
203,"Caddo County, Oklahoma",3,3,0,0,3,0,0,0,0,0,0,0,0
204,"Cedar County, Iowa",0,0,2,0,1,0,0,0,0,0,0,0,0
205,"Anchorage, Alaska",0,5,0,0,1,0,0,0,0,0,0,0,0
206,"Pasco County, Florida",0,2,0,0,0,0,0,0,0,0,0,0,0
207,"Madison County, Indiana",4,2,0,0,1,0,0,0,0,0,0,0,0
208,"Polk County, Iowa",0,4,1,0,0,1,1,0,0,0,0,0,0
209,"Sampson County, North Carolina",10,0,1,0,0,0,0,0,0,0,0,0,0
210,"Elmore County, Idaho",2,2,0,2,10,0,0,0,0,0,0,0,0
211,"Anderson County, South Carolina",2,2,0,2,0,0,0,0,0,0,0,0,0
212,"Chaves County, New Mexico",4,0,0,0,3,0,0,0,0,0,0,0,0
213,"Craven County, North Carolina",6,0,0,0,0,0,1,0,0,0,0,0,0
214,"McLeod County, Minnesota",7,2,1,0,0,0,0,0,0,0,0,0,0
215,"Androscoggin County, Maine",0,0,0,11,0,0,0,0,0,0,0,0,0
216,"Franklin County, Maine",0,1,0,2,2,0,1,0,0,0,0,0,0
