,State,Year,Sector Name,Price (cents per kWh)
960,WI,2020,residential,14.32
961,WI,2019,residential,14.18
962,WI,2018,residential,14.02
963,WI,2017,residential,14.35
964,WI,2016,residential,14.07
965,WI,2015,residential,14.11
966,WI,2014,residential,13.67
967,WI,2013,residential,13.55
968,WI,2012,residential,13.19
969,WI,2011,residential,13.02
970,WI,2010,residential,12.65
971,WI,2009,residential,11.94
972,WI,2008,residential,11.51
973,WI,2007,residential,10.87
974,WI,2006,residential,10.51
975,WI,2005,residential,9.66
976,WI,2004,residential,9.07
977,WI,2003,residential,8.67
978,WI,2002,residential,8.18
979,WI,2001,residential,7.9
980,WV,2020,residential,11.8
981,WV,2019,residential,11.25
982,WV,2018,residential,11.18
983,WV,2017,residential,11.63
984,WV,2016,residential,11.44
985,WV,2015,residential,10.08
986,WV,2014,residential,9.34
987,WV,2013,residential,9.52
988,WV,2012,residential,9.85
989,WV,2011,residential,9.39
990,WV,2010,residential,8.79
991,WV,2009,residential,7.9
992,WV,2008,residential,7.06
993,WV,2007,residential,6.73
994,WV,2006,residential,6.35
995,WV,2005,residential,6.21
996,WV,2004,residential,6.23
997,WV,2003,residential,6.24
998,WV,2002,residential,6.23
999,WV,2001,residential,6.26
1000,WY,2020,residential,11.11
1001,WY,2019,residential,11.18
1002,WY,2018,residential,11.29
1003,WY,2017,residential,11.37
1004,WY,2016,residential,11.13
1005,WY,2015,residential,10.97
1006,WY,2014,residential,10.5
1007,WY,2013,residential,10.16
1008,WY,2012,residential,9.85
1009,WY,2011,residential,9.11
1010,WY,2010,residential,8.77
1011,WY,2009,residential,8.58
1012,WY,2008,residential,8.21
1013,WY,2007,residential,7.75
1014,WY,2006,residential,7.75
1015,WY,2005,residential,7.48
1016,WY,2004,residential,7.21
1017,WY,2003,residential,7.04
1018,WY,2002,residential,6.97
1019,WY,2001,residential,6.77
